N_FK,beta,calibrated_bound,measured_over_bound,problem,raw_bound_terms,rel_l2,width
32,0.125,0.6261715888977051,1.0,poisson,1.745222205190908,0.6261715888977051,42
64,0.125,0.6068627651986241,0.94674542901029,poisson,1.691405985366764,0.5745445489883423,46
128,0.125,0.5891564957970407,0.5162845505901642,poisson,1.6420562941980321,0.3041723966598511,50
32,0.125,0.44451349973678594,0.9999999999999999,met,1.745222205190908,0.4445134997367859,42
64,0.125,0.43080634190583356,0.5752966207372919,met,1.691405985366764,0.24784143269062042,46
128,0.125,0.4182368227540056,0.7038570500615291,met,1.6420562941980321,0.29437893629074097,50
