problem,stage,N_FK,N_MC,dt,T_max,label_rmse_vs_exact,mean_label_bias,label_std_mean,rel_l2,w_pde,w_bc,w_fk,s_pde,s_bc,s_fk
met,offline_em,240,450,0.0015,1.2,0.012761636839896215,0.01214693313241388,0.07993333882926507,,,,,,,
met,online_uncertainty_pinn,240,450,0.0015,1.2,0.012761636839896215,0.01214693313241388,0.07993333882926507,0.192485049366951,4.214603334882413,4.071344226794802,4.065101209982427,-1.4385554790496826,-1.4039732217788696,-1.4024386405944824
committor,offline_em,240,450,0.0015,1.5,0.018409254949810782,0.0005916797659112451,0.26838797436490786,,,,,,,
committor,online_uncertainty_pinn,240,450,0.0015,1.5,0.018409254949810782,0.0005916797659112451,0.26838797436490786,0.012625173665583134,4.08128741796554,4.08350220477294,4.077110286899161,-1.4064124822616577,-1.4069550037384033,-1.4053884744644165
