problem,dt,mean_abs_bias,bias_over_sqrt_dt,max_abs_bias,n_x,n_mc
met,0.008,0.030814070815257853,0.3445117850320446,0.04159563560392851,160,700
met,0.004,0.020478177958114997,0.32378842338949787,0.029727106676830702,160,700
met,0.002,0.013997070815257856,0.3129840182879497,0.024098839320888715,160,700
met,0.001,0.009305950753968738,0.2942800017590243,0.017248010842102493,160,700
committor,0.008,0.020889157143591623,0.23354787682873102,0.06606483153033184,160,700
committor,0.004,0.016564724211155936,0.26191128659894347,0.056673669471441965,160,700
committor,0.002,0.013218531540514212,0.29557535087314796,0.05592115244101681,160,700
committor,0.001,0.010873279061199368,0.3438432746800737,0.039528700041389,160,700
