problem,step,total,lpde,lbc,lfk,s_pde,s_bc,s_fk
met,0,1.2355891466140747,1.136902928352356,0.04091383516788483,0.057772427797317505,0.002499999711290002,-0.0024999999441206455,-0.0024999999441206455
met,140,-1.0646419525146484,0.005120225716382265,0.0001621548435650766,0.0003785389708355069,-0.3698486089706421,-0.3557845652103424,-0.3548067808151245
met,280,-2.1191818714141846,0.00447640148922801,0.0017360285855829716,0.0010875408770516515,-0.7305167317390442,-0.706288754940033,-0.7048989534378052
met,559,-4.23259162902832,0.0008421537349931896,0.00014901201939210296,0.00016845845675561577,-1.4385554790496826,-1.4039732217788696,-1.4024386405944824
committor,0,0.39637988805770874,0.017933955416083336,0.2260216325521469,0.15242430567741394,-0.0024999999441206455,-0.0024999999441206455,-0.0024999999441206455
committor,140,-1.060584545135498,0.0001033945954986848,4.2546820623101667e-05,0.00036554085090756416,-0.35607680678367615,-0.35678327083587646,-0.3559983968734741
committor,280,-2.1149086952209473,5.2685325499624014e-05,4.130302477278747e-05,0.0002396139461779967,-0.7075799107551575,-0.7083305716514587,-0.7071940898895264
committor,559,-4.2095746994018555,4.270781937520951e-05,3.746564107132144e-05,0.00033102676388807595,-1.4064124822616577,-1.4069550037384033,-1.4053884744644165
