problem,std_zeta,mean_zeta,exp_moment_lambda,exp_moment,tail_slope_t,tail_corr_t,tail_slope_t2,tail_corr_t2,bounded_support_max,exit_tail_rate,exit_tail_corr
met,0.07651243850188942,2.0045693500176436e-18,4.0,1.2698864304852842,-17.898869596198676,-0.9772222482319665,-77.94855688057442,-0.9195886392187019,1.0513566666666512,10.753097457935631,-0.9999811892780872
committor,0.27960743239904373,2.2872650275842344e-18,4.0,3.327848412070668,-5.310863551365916,-0.9953200168705453,-6.705656389670187,-0.9965614968266894,0.9765340646640225,,
