d,m,r,epsilon,log_bound,formula_bound,explicit_grid_count,relative_error_enum_vs_formula,halving_epsilon_multiplier,decision
1,1,1.0,0.5,1.6094379124341003,4.999999999999999,5,1.7763568394002508e-16,1.8000000000000007,supports_formula
1,3,1.0,0.5,4.828313737302301,124.99999999999994,125,4.547473508864643e-16,5.832000000000003,supports_formula
2,2,1.0,0.5,6.437751649736401,624.9999999999998,625,3.637978807091714e-16,10.497600000000011,supports_formula
3,2,1.5,0.5,11.675460894331879,117648.9999999999,117649,8.658246699807738e-16,41.02719955120748,supports_formula
4,3,2.0,1.0,19.313254949209202,244140624.99999952,,,1156.8313814261787,supports_formula
8,4,2.0,0.25,90.66282700979892,2.3679115947604737e+39,,,1652268381.0755363,supports_formula
