problem,dt,mean_abs_bias,bias_over_sqrt_dt,max_abs_bias,n_x,n_mc
met,0.008,0.029367247003804997,0.328335803062675,0.04145667362033646,80,250
met,0.004,0.020436647003804993,0.3231317613443979,0.033020382733956355,80,250
met,0.002,0.014013447003804991,0.31335020099598715,0.026097920582158124,80,250
committor,0.008,0.025397801556708656,0.28395605379925265,0.07423958637550632,80,250
committor,0.004,0.02008676710031968,0.31759967433173053,0.04810148094464628,80,250
committor,0.002,0.01790813116747684,0.4004379864046088,0.049247380459921775,80,250
