problem,stage,N_FK,N_MC,dt,T_max,label_rmse_vs_exact,mean_label_bias,label_std_mean,rel_l2,w_pde,w_bc,w_fk,s_pde,s_bc,s_fk
met,offline_em,120,200,0.0025,1.2,0.016396438997300866,0.015079063388664875,0.0839874608794672,,,,,,,
met,online_uncertainty_pinn,120,200,0.0025,1.2,0.016396438997300866,0.015079063388664875,0.0839874608794672,0.37735018134117126,1.9628920594522274,1.9229143248354037,1.919953474788399,-0.6744189262390137,-0.6538419127464294,-0.6523009538650513
committor,offline_em,120,200,0.0025,1.5,0.02539725511947866,0.0007129052936755235,0.2594862731599466,,,,,,,
committor,online_uncertainty_pinn,120,200,0.0025,1.5,0.02539725511947866,0.0007129052936755235,0.2594862731599466,0.02760687842965126,1.9269018849443675,1.935253384539478,1.9308865503394657,-0.6559134721755981,-0.6602382659912109,-0.6579792499542236
