problem,std_zeta,mean_zeta,exp_moment_lambda,exp_moment,tail_slope_t,tail_corr_t,tail_slope_t2,tail_corr_t2,bounded_support_max,exit_tail_rate,exit_tail_corr
met,0.08312585048554574,6.071532165918824e-19,4.0,1.3101587324884647,-17.203621115886115,-0.9739642304074801,-68.21950631068172,-0.9191933256671281,0.8502074999999869,10.511772414460962,-0.9999776523582847
committor,0.2800882771674907,6.283553924093768e-18,4.0,3.350613529796218,-5.4194521494920265,-0.9926295327422997,-7.035443485110151,-0.9967178883931146,0.9715429326583407,,
