problem,step,total,lpde,lbc,lfk,s_pde,s_bc,s_fk
met,0,1.1498395204544067,1.0836189985275269,0.022574998438358307,0.043645549565553665,0.0024999999441206455,-0.0024999999441206455,-0.0024999999441206455
met,65,-0.4724361300468445,0.017530156299471855,0.000849416945129633,0.00040741972043178976,-0.16984498500823975,-0.16650332510471344,-0.1660323441028595
met,130,-0.9539872407913208,0.009196056984364986,0.007947204634547234,0.011638048104941845,-0.34188494086265564,-0.3304115831851959,-0.32939738035202026
met,259,-1.9645214080810547,0.0035712241660803556,0.00010995346383424476,0.0006635093013755977,-0.6744189262390137,-0.6538419127464294,-0.6523009538650513
committor,0,1.376388669013977,0.026428455486893654,0.7356557250022888,0.6143044829368591,-0.0024999999441206455,-0.002499999711290002,-0.002499999711290002
committor,65,-0.48957473039627075,0.004142415709793568,0.0007817171863280237,0.0008285269141197205,-0.16638772189617157,-0.16910916566848755,-0.16851301491260529
committor,130,-0.9883723855018616,0.0015383105492219329,0.00028406005003489554,0.0003280604723840952,-0.3308846056461334,-0.3347320556640625,-0.3333296775817871
committor,259,-1.9653844833374023,3.246974301873706e-05,7.707024633418769e-05,0.0005156801198609173,-0.6559134721755981,-0.6602382659912109,-0.6579792499542236
