method,problem,rel_l2,seed,weights
pinn,schrodinger,10.435338973999023,0,"[1.0, 1.0]"
fk,schrodinger,10.99138069152832,0,"[0.5268433128618365, 0.4647626760253333, 0.48175645180577836]"
pinn,met,0.42471593618392944,0,"[1.0, 1.0]"
fk,met,0.2555719316005707,0,"[2.1933559231994026, 2.125065947348771, 2.1159460198290736]"
pinn,committor,0.004381993785500526,0,"[1.0, 1.0]"
fk,committor,0.011042333208024502,0,"[2.127654884562847, 2.1322496398774424, 2.1269206075996583]"
