bc_loss,fk_loss,loss,method,pde_loss,problem,rel_l2,seed,step,weights
0.4766784409160614,,106.98772391472286,vanilla_pinn,106.5110454738068,schrodinger,1.648631213107769,0,0,"[0.9980019986675223, 1.0020020012957063]"
1.4384213333213973,,14.862908586798588,vanilla_pinn,14.061093105636147,schrodinger,0.9151753144125229,0,40,"[0.9486020168529778, 1.0512427013796632]"
1.020930407736711,,12.111325187997032,vanilla_pinn,11.931076630708265,schrodinger,0.716507942218359,0,80,"[0.922059480934062, 1.0263036467845883]"
1.030142704090654,,10.865689753222764,vanilla_pinn,10.85209669718806,schrodinger,0.7274554267129484,0,120,"[0.8955104768426725, 1.0144207095583975]"
1.0176785431890754,,9.943474102767027,vanilla_pinn,10.101933491038022,schrodinger,0.7322046793649057,0,160,"[0.8690950430729704, 1.0044300620962727]"
0.960653230952889,,9.061872975758561,vanilla_pinn,9.3979715469053,schrodinger,0.7170327004981153,0,200,"[0.8433487601076726, 1.0026713494798867]"
0.8402209667916869,,7.854626487592588,vanilla_pinn,8.318275667608926,schrodinger,0.6723715785652942,0,240,"[0.8191637207943618, 1.0220336946436859]"
0.6323579061550848,,5.49757708902738,vanilla_pinn,5.840074055294666,schrodinger,0.5830047219731271,0,280,"[0.7988588869038789, 1.0833218531086162]"
0.38760400663730876,,2.3437277339697093,vanilla_pinn,2.317550652366844,schrodinger,0.4623634520902992,0,320,"[0.787795903576118, 1.2119528898478855]"
0.3347700163823607,,1.3556077800286896,vanilla_pinn,1.2422613897921755,schrodinger,0.4473719012209856,0,360,"[0.7852283601436579, 1.3884154824334243]"
0.29082618272686256,,0.8641549211282128,vanilla_pinn,0.7832555402637482,schrodinger,0.4215013661184196,0,400,"[0.7858409497460388, 1.568580712961556]"
0.4766784409160614,1.7044203055066087,108.69214422022947,fk_pinn,106.5110454738068,schrodinger,1.6486312131035628,0,0,"[0.9980019986675223, 1.0020020012957063, 0.9980019986956685]"
1.4131816307543463,0.3216448801863247,15.04021255937125,fk_pinn,13.970481632713163,schrodinger,0.9019162601079916,0,40,"[0.9486067951392705, 1.0516588197777226, 1.0509082485968408]"
1.0000536702674183,0.17643491608538692,12.208327303231224,fk_pinn,11.984160459250457,schrodinger,0.7045505376529859,0,80,"[0.9220397422463104, 1.0298163662959536, 1.1432853420772913]"
1.0032753405242076,0.18085448910858495,10.899387694085418,fk_pinn,10.91140694343452,schrodinger,0.7116202836524406,0,120,"[0.8953692936400496, 1.0216826603038471, 1.242774867798027]"
