centered_mean,centered_std,dt,exp_moment_abs_5,mean_abs_bias,n_mc,noise_dt,problem,rmse,sample_n,scaled_by_sqrt_dt,tail_log_slope_t,tail_log_slope_t2
,,0.01,,0.06518117647058834,250,,met,0.06735262360058714,,0.6518117647058833,,
,,0.005,,0.04280352941176478,250,,met,0.044349493000616934,,0.6053333181155343,,
,,0.0025,,0.0338399999999996,250,,met,0.0364399560921795,,0.676799999999992,,
1.7446361815538174e-17,0.23327264911800016,,7.845460399791256,,,0.0025,met,,700,,-6.9814772397545335,-10.544884785827467
,,0.01,,0.03617139702722535,250,,committor,0.04306865235546787,,0.36171397027225344,,
,,0.005,,0.03341176470588234,250,,committor,0.03931172553712037,,0.4725137078987751,,
,,0.0025,,0.02894117647058823,250,,committor,0.03673754290672594,,0.5788235294117646,,
-4.314009467114894e-17,0.49983466654239883,,12.18752335956141,,,0.0025,committor,,700,,,
