model,type,size_b,mean_entropy,tail_entropy,rep_ratio,n
tiiuae/falcon-rw-1b,Base,1.0,2.439215099061706,2.1158582168199547,0.008888888888888889,20
TinyLlama/TinyLlama-1.1B-Chat-v1.0,Instruct,1.1,1.1178718482535503,1.1580042340844714,0.017777777777777778,20
facebook/opt-1.3b,Base,1.3,2.491937874547502,2.4792641596532325,0.0305982905982906,20
tiiuae/falcon-7b,Base,7.0,2.2933876659469368,2.309189087512663,0.008333333333333333,20
tiiuae/falcon-7b-instruct,Instruct,7.0,0.7770471410782986,0.6847790161667702,0.0,20
