N_FK,fit_loglog_slope,fk_label_rmse,rel_l2,steps,width
16,0.05551359261153679,0.03300412163720739,0.0880717671995796,900,28
32,0.05551359261153679,0.03590158128800048,0.10595101515060473,900,28
64,0.05551359261153679,0.0347471667042448,0.14301507879337338,900,28
128,0.05551359261153679,0.03473718429210184,0.09059731566878446,900,28
