bc_loss,fk_loss,loss,method,pde_loss,problem,rel_l2,seed,step,weights
0.20615975328797612,,32.04609360384363,vanilla_pinn,31.839933850555656,schrodinger,0.6015284725284142,0,0,"[0.9980019986679802, 1.0020020013087558]"
0.6524098643517654,,6.567754148546256,vanilla_pinn,6.826124508546518,schrodinger,0.5874148199901297,0,120,"[0.8413914527163716, 1.0189741260312302]"
0.2152663468883662,,0.38910598650620065,vanilla_pinn,0.3359529101879553,schrodinger,0.36784944089980587,0,240,"[0.8278116521193114, 1.4940299556899894]"
0.10681530712372725,,-0.12253455631642274,vanilla_pinn,0.23871497771176586,schrodinger,0.2578260285200889,0,360,"[0.8506963374475388, 2.0256264708293035]"
0.01244028830261089,,-0.8037324365002727,vanilla_pinn,0.06383021322640693,schrodinger,0.08611022498154089,0,480,"[0.8836465095233141, 2.776981668555778]"
0.000742706677488842,,-1.230978264632183,vanilla_pinn,0.0306953903049078,schrodinger,0.020811337441898007,0,600,"[0.9281850718108574, 3.8182819510208112]"
0.00012154811689442358,,-1.6017907162460536,vanilla_pinn,0.0129930310055462,schrodinger,0.008610135134505951,0,720,"[0.9827350006761071, 5.131982913906288]"
0.00017419461194233263,,-1.9524070287372655,vanilla_pinn,0.006681819664237874,schrodinger,0.010299909801338887,0,840,"[1.048151317311207, 6.796594695735814]"
9.462882545791642e-05,,-2.2962608739435235,vanilla_pinn,0.005493095006760762,schrodinger,0.007661918099324764,0,960,"[1.1255494310744978, 8.916147204602796]"
3.7914537968329304e-05,,-2.639708630473142,vanilla_pinn,0.00494263766415164,schrodinger,0.004735076284907044,0,1080,"[1.216634187048903, 11.622383023913683]"
1.907488087226956e-05,,-2.9845950068253413,vanilla_pinn,0.004410554125679881,schrodinger,0.003719666471239125,0,1200,"[1.3235729195034844, 15.078424110070538]"
0.20615975328797612,0.24358080734562104,32.28967441118925,fk_pinn,31.839933850555656,schrodinger,0.6015284725258294,0,0,"[0.9980019986679802, 1.0020020013087558, 1.002002001307507]"
0.6117782717613475,0.12229697791310769,6.285482535893677,fk_pinn,6.650093656114048,schrodinger,0.5621708790883091,0,120,"[0.8414830800268364, 1.0383918629020867, 1.276435185268183]"
0.18227667189903982,0.03655886189265514,-0.09633692830557766,fk_pinn,0.3742848986655362,schrodinger,0.33449657999142013,0,240,"[0.8288229959158879, 1.530402608391856, 1.6700630630112294]"
0.07999519334367074,0.012834314807731572,-0.9281780602540736,fk_pinn,0.25784561098136427,schrodinger,0.22021447907967126,0,360,"[0.8509157731345997, 2.087371645661162, 2.1647964977274294]"
0.0064762817565429,0.0006529740391725004,-1.883785500860888,fk_pinn,0.056223744333252564,schrodinger,0.06225538271559697,0,480,"[0.8840428668411224, 2.859681486855629, 2.805274865258672]"
0.0010795466308261485,0.0014397379381004085,-2.530322913133241,fk_pinn,0.029427306548537674,schrodinger,0.02672210083314842,0,600,"[0.9288986343748185, 3.8915446427334226, 3.621954986040721]"
0.00039529181309113824,0.0019691781148503465,-3.1367790734376984,fk_pinn,0.015707477437998645,schrodinger,0.01673540647147819,0,720,"[0.9835812486924567, 5.191717194663284, 4.6544861792512915]"
0.00023064059294256408,0.002108613517647344,-3.727077794636175,fk_pinn,0.009803060375331178,schrodinger,0.01340394136641171,0,840,"[1.0489965230524034, 6.842062547900485, 5.962164871430331]"
0.00019907430125844694,0.0019770715541136776,-4.310588817332956,fk_pinn,0.007698894812972251,schrodinger,0.013584457855293715,0,960,"[1.1264097889870062, 8.944267949629124, 7.620835349479692]"
0.0002101872280821479,0.0018736372129513742,-4.890979905639233,fk_pinn,0.006652074970416223,schrodinger,0.013725419256940307,0,1080,"[1.217454883528079, 11.62434451954823, 9.72498402007983]"
0.00018787333430247058,0.0019606848388996215,-5.470327891803549,fk_pinn,0.005252067235540593,schrodinger,0.019176973566954744,0,1200,"[1.3246496072319183, 15.043998294901717, 12.392613385732218]"
0.06599295496105137,,66.72535213803874,vanilla_pinn,66.6593591830777,schrodinger,1.115175360026353,1,0,"[0.9980019986676371, 1.0020020013125444]"
1.0587535046375312,,9.943934468039513,vanilla_pinn,10.083641300503626,schrodinger,0.7515972946265675,1,120,"[0.8661724698385318, 0.9862645131623295]"
0.26620990304020736,,1.3616268819723965,vanilla_pinn,1.2265547483202157,schrodinger,0.3940704480998926,1,240,"[0.790282656038782, 1.1700044949482746]"
0.27712319851100803,,0.5682069371295886,vanilla_pinn,0.4779097275838553,schrodinger,0.4159564945086013,1,360,"[0.7982524280377977, 1.6393950400226605]"
0.17922988232959547,,0.1399623420329278,vanilla_pinn,0.3975727059652458,schrodinger,0.3330865164155336,1,480,"[0.8137123198563789, 2.1897023536692153]"
0.09726620062683455,,-0.34485846042448176,vanilla_pinn,0.3228504644343693,schrodinger,0.24329434535775796,1,600,"[0.8336446840610647, 2.962867892788575]"
0.02470669248957875,,-1.0570880454719591,vanilla_pinn,0.12017018528488743,schrodinger,0.11984707259906462,1,720,"[0.8602079198967687, 4.11939420287585]"
0.0024067909423256886,,-1.5827447211205545,vanilla_pinn,0.06479096894858755,schrodinger,0.03663393193894332,1,840,"[0.8962928706318196, 5.8564889200147]"
0.0005513790024190472,,-1.988625207438346,vanilla_pinn,0.03869958128495072,schrodinger,0.017044819556367666,1,960,"[0.9391843129941705, 8.127187593203248]"
7.303234642634661e-05,,-2.368086580497731,vanilla_pinn,0.020031641075836704,schrodinger,0.00640795213612773,1,1080,"[0.9896783966810625, 11.045595555126685]"
2.8479154573276335e-05,,-2.7272295216269815,vanilla_pinn,0.01070360228549532,schrodinger,0.004617778271776859,1,1200,"[1.0486152729384068, 14.794991744059525]"
0.06599295496105137,0.8714130662190838,67.59676520425782,fk_pinn,66.6593591830777,schrodinger,1.1151753600177925,1,0,"[0.9980019986676371, 1.0020020013125444, 1.002002001178152]"
1.0202023890022323,0.20883504901598782,9.946893201347526,fk_pinn,10.108584354967148,schrodinger,0.7295403135076933,1,120,"[0.8659091053517546, 0.9963146847268676, 1.2805436397583072]"
